tenant_id,event_id,animal_id,event_date,event_type,result,notes
default,RE_3006_PREGCK_20260103,3006,2026-02-07,preg_check,pregnant,
default,RE_3007_CALV_2,3007,2026-01-26,calving,normal,
default,RE_3007_HEAT_20260403,3007,2026-04-02,heat,detected,
default,RE_3007_INS_20260403,3007,2026-04-03,insemination,open,method=AI bull=Вихрь
default,RE_3008_CALV_2,3008,2026-04-20,calving,normal,
default,RE_3009_CALV_3,3009,2026-04-07,calving,normal,
default,RE_3010_CALV_1,3010,2025-08-05,calving,normal,
default,RE_3011_CALV_3,3011,2026-03-30,calving,normal,
default,RE_3012_CALV_1,3012,2026-02-16,calving,normal,
default,RE_3012_HEAT_20260417,3012,2026-04-16,heat,detected,
default,RE_3012_INS_20260417,3012,2026-04-17,insemination,pregnant,method=AI bull=Каскад
default,RE_3012_PREGCK_20260417,3012,2026-05-22,preg_check,pregnant,
default,RE_3013_CALV_3,3013,2026-03-17,calving,normal,
default,RE_3014_CALV_4,3014,2026-01-15,calving,normal,
default,RE_3014_HEAT_20260328,3014,2026-03-27,heat,missed,
default,RE_3014_INS_20260328,3014,2026-03-28,insemination,pregnant,method=AI bull=Ермак
default,RE_3015_CALV_4,3015,2025-12-08,calving,normal,
default,RE_3015_HEAT_20260224,3015,2026-02-23,heat,detected,
default,RE_3015_INS_20260224,3015,2026-02-24,insemination,open,method=AI bull=Атаман
default,RE_3015_PREGCK_20260224,3015,2026-03-31,preg_check,open,
default,RE_3016_CALV_3,3016,2026-02-22,calving,assisted,
default,RE_3016_HEAT_20260508,3016,2026-05-07,heat,detected,
default,RE_3016_INS_20260508,3016,2026-05-08,insemination,open,method=AI bull=Бой
default,RE_3016_PREGCK_20260508,3016,2026-06-12,preg_check,open,
default,RE_3017_CALV_2,3017,2026-02-15,calving,normal,
default,RE_3018_CALV_3,3018,2025-12-02,calving,assisted,
default,RE_3018_HEAT_20260204,3018,2026-02-03,heat,detected,
default,RE_3018_INS_20260204,3018,2026-02-04,insemination,pregnant,method=AI bull=Жигули
default,RE_3018_PREGCK_20260204,3018,2026-03-11,preg_check,pregnant,
default,RE_3019_CALV_1,3019,2026-02-21,calving,normal,
default,RE_3019_HEAT_20260424,3019,2026-04-23,heat,detected,
default,RE_3019_INS_20260424,3019,2026-04-24,insemination,pregnant,method=AI bull=Бой
default,RE_3019_PREGCK_20260424,3019,2026-05-29,preg_check,pregnant,
default,RE_3020_CALV_2,3020,2025-09-15,calving,normal,
default,RE_3020_HEAT_20251209,3020,2025-12-08,heat,detected,
default,RE_3020_INS_20251209,3020,2025-12-09,insemination,pregnant,method=AI bull=Жигули
default,RE_3020_PREGCK_20251209,3020,2026-01-13,preg_check,pregnant,
default,RE_3021_CALV_3,3021,2026-03-01,calving,assisted,
default,RE_3022_CALV_3,3022,2026-04-03,calving,normal,
default,RE_3023_CALV_2,3023,2025-09-09,calving,normal,
default,RE_3023_HEAT_20251112,3023,2025-11-11,heat,detected,
default,RE_3023_INS_20251112,3023,2025-11-12,insemination,open,method=AI bull=Ильич
default,RE_3023_PREGCK_20251112,3023,2025-12-17,preg_check,open,
default,RE_3024_CALV_2,3024,2025-03-22,calving,normal,
default,RE_3024_HEAT_20250701,3024,2025-06-30,heat,detected,
default,RE_3024_INS_20250701,3024,2025-07-01,insemination,open,method=AI bull=Каскад
default,RE_3024_PREGCK_20250701,3024,2025-08-05,preg_check,open,
default,RE_3024_DRY_2,3024,2026-01-21,dryoff,completed,
default,RE_3025_CALV_2,3025,2026-02-12,calving,assisted,
default,RE_3025_HEAT_20260421,3025,2026-04-20,heat,detected,
default,RE_3025_INS_20260421,3025,2026-04-21,insemination,pregnant,method=AI bull=Жигули
default,RE_3026_CALV_1,3026,2025-04-26,calving,assisted,
default,RE_3026_HEAT_20250701,3026,2025-06-30,heat,detected,
default,RE_3026_INS_20250701,3026,2025-07-01,insemination,pregnant,method=AI bull=Витязь
default,RE_3026_PREGCK_20250701,3026,2025-08-05,preg_check,pregnant,
default,RE_3026_DRY_1,3026,2026-02-25,dryoff,completed,
default,RE_3027_CALV_4,3027,2026-03-27,calving,normal,
default,RE_3028_CALV_3,3028,2025-11-17,calving,assisted,
default,RE_3028_HEAT_20260131,3028,2026-01-30,heat,detected,
default,RE_3028_INS_20260131,3028,2026-01-31,insemination,open,method=AI bull=Атаман
default,RE_3028_PREGCK_20260131,3028,2026-03-07,preg_check,open,
default,RE_3029_CALV_4,3029,2025-09-19,calving,normal,
default,RE_3029_HEAT_20251217,3029,2025-12-16,heat,missed,
default,RE_3029_INS_20251217,3029,2025-12-17,insemination,open,method=AI bull=Зевс
default,RE_3029_PREGCK_20251217,3029,2026-01-21,preg_check,open,
default,RE_3030_CALV_1,3030,2026-03-01,calving,normal,
default,RE_3031_CALV_2,3031,2026-04-18,calving,normal,
default,RE_3032_CALV_3,3032,2025-04-06,calving,normal,
default,RE_3032_HEAT_20250616,3032,2025-06-15,heat,detected,
default,RE_3032_INS_20250616,3032,2025-06-16,insemination,pregnant,method=natural bull=stockyard_bull_01
default,RE_3032_PREGCK_20250616,3032,2025-07-21,preg_check,pregnant,
default,RE_3032_DRY_3,3032,2026-02-05,dryoff,completed,
default,RE_3033_CALV_4,3033,2025-09-25,calving,normal,
default,RE_3033_HEAT_20251220,3033,2025-12-19,heat,missed,
default,RE_3033_INS_20251220,3033,2025-12-20,insemination,open,method=AI bull=Кавказ
default,RE_3033_PREGCK_20251220,3033,2026-01-24,preg_check,open,
default,RE_3034_CALV_1,3034,2025-11-17,calving,normal,
default,RE_3034_HEAT_20260203,3034,2026-02-02,heat,missed,
default,RE_3034_INS_20260203,3034,2026-02-03,insemination,open,method=AI bull=Ильич
default,RE_3034_PREGCK_20260203,3034,2026-03-10,preg_check,open,
default,RE_3035_CALV_1,3035,2025-06-28,calving,normal,
default,RE_3035_HEAT_20251023,3035,2025-10-22,heat,detected,
default,RE_3035_INS_20251023,3035,2025-10-23,insemination,open,method=AI bull=Бой
default,RE_3035_PREGCK_20251023,3035,2025-11-27,preg_check,open,
default,RE_3035_DRY_1,3035,2026-04-29,dryoff,completed,
default,RE_3036_CALV_4,3036,2025-08-15,calving,normal,
default,RE_3036_HEAT_20251017,3036,2025-10-16,heat,detected,
default,RE_3036_INS_20251017,3036,2025-10-17,insemination,pregnant,method=AI bull=Граф
default,RE_3036_PREGCK_20251017,3036,2025-11-21,preg_check,pregnant,
default,RE_3037_CALV_2,3037,2026-01-16,calving,normal,
default,RE_3037_HEAT_20260322,3037,2026-03-21,heat,detected,
default,RE_3037_INS_20260322,3037,2026-03-22,insemination,open,method=AI bull=Кавказ
default,RE_3038_CALV_1,3038,2026-02-11,calving,assisted,
default,RE_3039_CALV_3,3039,2026-03-29,calving,normal,
default,RE_3040_CALV_3,3040,2026-01-29,calving,normal,
default,RE_3040_HEAT_20260407,3040,2026-04-06,heat,detected,
default,RE_3040_INS_20260407,3040,2026-04-07,insemination,open,method=AI bull=Кавказ
default,RE_3041_CALV_1,3041,2026-03-28,calving,normal,
default,RE_3042_CALV_4,3042,2026-04-16,calving,normal,
default,RE_3043_CALV_2,3043,2025-10-11,calving,assisted,
default,RE_3043_HEAT_20260104,3043,2026-01-03,heat,detected,
default,RE_3043_INS_20260104,3043,2026-01-04,insemination,pregnant,method=AI bull=Ильич
default,RE_3043_PREGCK_20260104,3043,2026-02-08,preg_check,pregnant,
default,RE_3044_CALV_3,3044,2025-06-11,calving,assisted,
default,RE_3044_HEAT_20251014,3044,2025-10-13,heat,detected,
default,RE_3044_INS_20251014,3044,2025-10-14,insemination,open,method=AI bull=Витязь
default,RE_3044_PREGCK_20251014,3044,2025-11-18,preg_check,open,
default,RE_3044_DRY_3,3044,2026-04-12,dryoff,completed,
default,RE_3045_CALV_1,3045,2026-02-01,calving,normal,
default,RE_3045_HEAT_20260411,3045,2026-04-10,heat,detected,
default,RE_3045_INS_20260411,3045,2026-04-11,insemination,pregnant,method=AI bull=Ильич
default,RE_3046_CALV_1,3046,2025-06-24,calving,normal,
default,RE_3046_HEAT_20250922,3046,2025-09-21,heat,detected,
default,RE_3046_INS_20250922,3046,2025-09-22,insemination,pregnant,method=AI bull=Каскад
default,RE_3046_PREGCK_20250922,3046,2025-10-27,preg_check,pregnant,
default,RE_3046_DRY_1,3046,2026-04-25,dryoff,completed,
default,RE_3047_CALV_1,3047,2025-06-24,calving,assisted,
default,RE_3047_HEAT_20250922,3047,2025-09-21,heat,detected,
default,RE_3047_INS_20250922,3047,2025-09-22,insemination,pregnant,method=AI bull=Орёл
default,RE_3047_PREGCK_20250922,3047,2025-10-27,preg_check,pregnant,
default,RE_3047_DRY_1,3047,2026-04-25,dryoff,completed,
default,RE_3048_CALV_1,3048,2025-09-11,calving,normal,
default,RE_3048_HEAT_20251125,3048,2025-11-24,heat,detected,
default,RE_3048_INS_20251125,3048,2025-11-25,insemination,open,method=AI bull=Дунай
default,RE_3048_PREGCK_20251125,3048,2025-12-30,preg_check,open,
default,RE_3049_CALV_2,3049,2026-01-10,calving,assisted,
default,RE_3049_HEAT_20260402,3049,2026-04-01,heat,detected,
default,RE_3049_INS_20260402,3049,2026-04-02,insemination,open,method=AI bull=Дунай
default,RE_3050_CALV_1,3050,2025-09-20,calving,normal,
default,RE_3050_HEAT_20251119,3050,2025-11-18,heat,missed,
default,RE_3050_INS_20251119,3050,2025-11-19,insemination,pregnant,method=AI bull=Ильич
default,RE_3050_PREGCK_20251119,3050,2025-12-24,preg_check,pregnant,
default,RE_3051_CALV_1,3051,2026-02-05,calving,normal,
default,RE_3051_HEAT_20260503,3051,2026-05-02,heat,detected,
default,RE_3051_INS_20260503,3051,2026-05-03,insemination,open,method=AI bull=Бой
default,RE_3051_PREGCK_20260503,3051,2026-06-07,preg_check,open,
default,RE_3052_CALV_4,3052,2025-06-21,calving,assisted,
default,RE_3052_HEAT_20250916,3052,2025-09-15,heat,detected,
default,RE_3052_INS_20250916,3052,2025-09-16,insemination,open,method=AI bull=Ильич
default,RE_3052_PREGCK_20250916,3052,2025-10-21,preg_check,open,
default,RE_3052_DRY_4,3052,2026-04-22,dryoff,completed,
default,RE_3053_CALV_1,3053,2026-03-04,calving,normal,
default,RE_3054_CALV_1,3054,2026-04-18,calving,normal,
default,RE_3055_CALV_2,3055,2025-07-08,calving,normal,
default,RE_3055_HEAT_20250920,3055,2025-09-19,heat,detected,
default,RE_3055_INS_20250920,3055,2025-09-20,insemination,open,method=AI bull=Атлас
default,RE_3055_PREGCK_20250920,3055,2025-10-25,preg_check,open,
default,RE_3055_DRY_2,3055,2026-05-09,dryoff,completed,
default,RE_3056_CALV_2,3056,2026-03-28,calving,assisted,
default,RE_3057_CALV_4,3057,2026-04-13,calving,assisted,
default,RE_3058_CALV_2,3058,2026-04-02,calving,normal,
default,RE_3059_CALV_2,3059,2026-02-14,calving,assisted,
default,RE_3059_HEAT_20260429,3059,2026-04-28,heat,detected,
default,RE_3059_INS_20260429,3059,2026-04-29,insemination,open,method=AI bull=Атлас
default,RE_3059_PREGCK_20260429,3059,2026-06-03,preg_check,open,
default,RE_3060_CALV_3,3060,2025-11-03,calving,normal,
default,RE_3060_HEAT_20260121,3060,2026-01-20,heat,detected,
default,RE_3060_INS_20260121,3060,2026-01-21,insemination,open,method=AI bull=Зевс
default,RE_3060_PREGCK_20260121,3060,2026-02-25,preg_check,open,
default,RE_3061_CALV_3,3061,2025-04-18,calving,normal,
default,RE_3061_HEAT_20250624,3061,2025-06-23,heat,detected,
default,RE_3061_INS_20250624,3061,2025-06-24,insemination,pregnant,method=natural bull=stockyard_bull_01
default,RE_3061_PREGCK_20250624,3061,2025-07-29,preg_check,pregnant,
default,RE_3061_DRY_3,3061,2026-02-17,dryoff,completed,
default,RE_3062_CALV_2,3062,2025-11-30,calving,normal,
default,RE_3062_HEAT_20260210,3062,2026-02-09,heat,missed,
default,RE_3062_INS_20260210,3062,2026-02-10,insemination,open,method=AI bull=Атаман
default,RE_3062_PREGCK_20260210,3062,2026-03-17,preg_check,open,
default,RE_3063_CALV_4,3063,2025-11-12,calving,normal,
default,RE_3063_HEAT_20260202,3063,2026-02-01,heat,missed,
default,RE_3063_INS_20260202,3063,2026-02-02,insemination,open,method=AI bull=Зевс
default,RE_3063_PREGCK_20260202,3063,2026-03-09,preg_check,open,
default,RE_3064_CALV_2,3064,2026-03-26,calving,normal,
default,RE_3065_CALV_3,3065,2025-11-25,calving,normal,
default,RE_3065_HEAT_20260220,3065,2026-02-19,heat,detected,
default,RE_3065_INS_20260220,3065,2026-02-20,insemination,pregnant,method=AI bull=Жигули
default,RE_3065_PREGCK_20260220,3065,2026-03-27,preg_check,pregnant,
default,RE_3066_CALV_2,3066,2025-10-14,calving,normal,
default,RE_3066_HEAT_20260109,3066,2026-01-08,heat,missed,
default,RE_3066_INS_20260109,3066,2026-01-09,insemination,open,method=AI bull=Атаман
default,RE_3066_PREGCK_20260109,3066,2026-02-13,preg_check,open,
default,RE_3067_CALV_1,3067,2026-01-21,calving,normal,
default,RE_3067_HEAT_20260328,3067,2026-03-27,heat,missed,
default,RE_3067_INS_20260328,3067,2026-03-28,insemination,open,method=AI bull=Атаман
default,RE_3068_CALV_1,3068,2026-04-03,calving,normal,
default,RE_3069_CALV_2,3069,2025-08-28,calving,assisted,
default,RE_3069_HEAT_20251104,3069,2025-11-03,heat,detected,
default,RE_3069_INS_20251104,3069,2025-11-04,insemination,open,method=AI bull=Жигули
default,RE_3069_PREGCK_20251104,3069,2025-12-09,preg_check,open,
default,RE_3070_CALV_3,3070,2025-12-11,calving,assisted,
default,RE_3070_HEAT_20260306,3070,2026-03-05,heat,missed,
default,RE_3070_INS_20260306,3070,2026-03-06,insemination,pregnant,method=AI bull=Буран
default,RE_3070_PREGCK_20260306,3070,2026-04-10,preg_check,pregnant,
default,RE_3071_CALV_2,3071,2025-06-09,calving,normal,
default,RE_3071_HEAT_20250903,3071,2025-09-02,heat,detected,
default,RE_3071_INS_20250903,3071,2025-09-03,insemination,open,method=AI bull=Орёл
default,RE_3071_PREGCK_20250903,3071,2025-10-08,preg_check,open,
default,RE_3071_DRY_2,3071,2026-04-10,dryoff,completed,
default,RE_3072_CALV_2,3072,2026-03-14,calving,normal,
default,RE_3073_CALV_2,3073,2026-04-06,calving,normal,
default,RE_3074_CALV_2,3074,2025-10-05,calving,normal,
default,RE_3074_HEAT_20251205,3074,2025-12-04,heat,missed,
default,RE_3074_INS_20251205,3074,2025-12-05,insemination,open,method=AI bull=Ильич
default,RE_3074_PREGCK_20251205,3074,2026-01-09,preg_check,open,
default,RE_3075_CALV_1,3075,2026-02-01,calving,assisted,
default,RE_3075_HEAT_20260404,3075,2026-04-03,heat,detected,
default,RE_3075_INS_20260404,3075,2026-04-04,insemination,pregnant,method=AI bull=Гром
default,RE_3076_CALV_2,3076,2025-09-23,calving,normal,
default,RE_3076_HEAT_20251216,3076,2025-12-15,heat,detected,
default,RE_3076_INS_20251216,3076,2025-12-16,insemination,pregnant,method=AI bull=Ермак
default,RE_3076_PREGCK_20251216,3076,2026-01-20,preg_check,pregnant,
default,RE_3077_CALV_1,3077,2026-01-12,calving,normal,
default,RE_3077_HEAT_20260331,3077,2026-03-30,heat,detected,
default,RE_3077_INS_20260331,3077,2026-03-31,insemination,open,method=AI bull=Ермак
default,RE_3078_CALV_3,3078,2026-03-11,calving,normal,
default,RE_3079_CALV_2,3079,2026-02-09,calving,normal,
default,RE_3079_HEAT_20260507,3079,2026-05-06,heat,detected,
default,RE_3079_INS_20260507,3079,2026-05-07,insemination,pregnant,method=natural bull=stockyard_bull_01
default,RE_3079_PREGCK_20260507,3079,2026-06-11,preg_check,pregnant,
default,RE_3080_CALV_1,3080,2026-02-03,calving,assisted,
default,RE_3080_HEAT_20260408,3080,2026-04-07,heat,missed,
default,RE_3080_INS_20260408,3080,2026-04-08,insemination,pregnant,method=AI bull=Зевс
default,RE_3081_CALV_1,3081,2026-03-13,calving,normal,
default,RE_3082_CALV_1,3082,2025-11-11,calving,assisted,
default,RE_3082_HEAT_20260120,3082,2026-01-19,heat,detected,
default,RE_3082_INS_20260120,3082,2026-01-20,insemination,open,method=AI bull=Дунай
default,RE_3082_PREGCK_20260120,3082,2026-02-24,preg_check,open,
default,RE_3083_CALV_1,3083,2025-11-19,calving,normal,
default,RE_3083_HEAT_20260131,3083,2026-01-30,heat,detected,
default,RE_3083_INS_20260131,3083,2026-01-31,insemination,open,method=AI bull=Дунай
default,RE_3083_PREGCK_20260131,3083,2026-03-07,preg_check,open,
default,RE_3084_CALV_2,3084,2025-11-01,calving,normal,
default,RE_3084_HEAT_20260119,3084,2026-01-18,heat,detected,
default,RE_3084_INS_20260119,3084,2026-01-19,insemination,pregnant,method=AI bull=Кавказ
default,RE_3084_PREGCK_20260119,3084,2026-02-23,preg_check,pregnant,
default,RE_3085_CALV_3,3085,2025-05-27,calving,normal,
default,RE_3085_DRY_3,3085,2026-03-28,dryoff,completed,
default,RE_3086_CALV_3,3086,2025-11-02,calving,normal,
default,RE_3086_HEAT_20260118,3086,2026-01-17,heat,missed,
default,RE_3086_INS_20260118,3086,2026-01-18,insemination,open,method=AI bull=Жигули
default,RE_3086_PREGCK_20260118,3086,2026-02-22,preg_check,open,
default,RE_3087_CALV_2,3087,2026-02-12,calving,assisted,
default,RE_3088_CALV_2,3088,2026-02-09,calving,normal,
default,RE_3088_HEAT_20260419,3088,2026-04-18,heat,detected,
default,RE_3088_INS_20260419,3088,2026-04-19,insemination,pregnant,method=AI bull=Буран
default,RE_3089_CALV_2,3089,2025-12-25,calving,assisted,
default,RE_3089_HEAT_20260311,3089,2026-03-10,heat,missed,
default,RE_3089_INS_20260311,3089,2026-03-11,insemination,open,method=AI bull=Ермак
default,RE_3089_PREGCK_20260311,3089,2026-04-15,preg_check,open,
default,RE_3090_CALV_2,3090,2025-11-19,calving,normal,
default,RE_3090_HEAT_20260124,3090,2026-01-23,heat,detected,
default,RE_3090_INS_20260124,3090,2026-01-24,insemination,open,method=AI bull=Жигули
default,RE_3090_PREGCK_20260124,3090,2026-02-28,preg_check,open,
default,RE_3091_CALV_2,3091,2026-04-02,calving,normal,
default,RE_3092_CALV_1,3092,2025-03-25,calving,normal,
default,RE_3092_HEAT_20250720,3092,2025-07-19,heat,detected,
default,RE_3092_INS_20250720,3092,2025-07-20,insemination,pregnant,method=natural bull=stockyard_bull_01
default,RE_3092_PREGCK_20250720,3092,2025-08-24,preg_check,pregnant,
default,RE_3092_DRY_1,3092,2026-01-24,dryoff,completed,
default,RE_3093_CALV_2,3093,2025-08-30,calving,normal,
default,RE_3093_HEAT_20251112,3093,2025-11-11,heat,missed,
default,RE_3093_INS_20251112,3093,2025-11-12,insemination,open,method=AI bull=Гром
default,RE_3093_PREGCK_20251112,3093,2025-12-17,preg_check,open,
default,RE_3094_CALV_2,3094,2025-12-14,calving,normal,
default,RE_3094_HEAT_20260219,3094,2026-02-18,heat,detected,
default,RE_3094_INS_20260219,3094,2026-02-19,insemination,pregnant,method=AI bull=Кавказ
default,RE_3094_PREGCK_20260219,3094,2026-03-26,preg_check,pregnant,
default,RE_3095_CALV_3,3095,2025-05-23,calving,normal,
default,RE_3095_HEAT_20250901,3095,2025-08-31,heat,missed,
default,RE_3095_INS_20250901,3095,2025-09-01,insemination,pregnant,method=AI bull=Каскад
default,RE_3095_PREGCK_20250901,3095,2025-10-06,preg_check,pregnant,
default,RE_3095_DRY_3,3095,2026-03-24,dryoff,completed,
default,RE_3096_CALV_1,3096,2026-01-08,calving,normal,
default,RE_3096_HEAT_20260311,3096,2026-03-10,heat,detected,
default,RE_3096_INS_20260311,3096,2026-03-11,insemination,open,method=AI bull=Ермак
default,RE_3096_PREGCK_20260311,3096,2026-04-15,preg_check,open,
default,RE_3097_CALV_1,3097,2026-03-10,calving,normal,
default,RE_3098_CALV_2,3098,2025-10-02,calving,normal,
default,RE_3098_HEAT_20251226,3098,2025-12-25,heat,detected,
default,RE_3098_INS_20251226,3098,2025-12-26,insemination,open,method=AI bull=Гром
default,RE_3098_PREGCK_20251226,3098,2026-01-30,preg_check,open,
default,RE_3099_CALV_1,3099,2026-03-31,calving,normal,
default,RE_3100_CALV_2,3100,2026-02-27,calving,normal,
default,RE_3101_CALV_3,3101,2026-02-22,calving,normal,
default,RE_3102_CALV_1,3102,2026-04-03,calving,assisted,
default,RE_3103_CALV_1,3103,2025-05-10,calving,assisted,
default,RE_3103_HEAT_20250714,3103,2025-07-13,heat,detected,
default,RE_3103_INS_20250714,3103,2025-07-14,insemination,open,method=AI bull=Витязь
default,RE_3103_PREGCK_20250714,3103,2025-08-18,preg_check,open,
default,RE_3103_DRY_1,3103,2026-03-11,dryoff,completed,
default,RE_3104_CALV_2,3104,2026-01-29,calving,normal,
default,RE_3105_CALV_2,3105,2025-07-01,calving,assisted,
default,RE_3105_HEAT_20251010,3105,2025-10-09,heat,detected,
default,RE_3105_INS_20251010,3105,2025-10-10,insemination,open,method=AI bull=Орёл
default,RE_3105_PREGCK_20251010,3105,2025-11-14,preg_check,open,
default,RE_3105_DRY_2,3105,2026-05-02,dryoff,completed,
default,RE_3106_CALV_2,3106,2025-11-15,calving,assisted,
default,RE_3106_HEAT_20260202,3106,2026-02-01,heat,missed,
default,RE_3106_INS_20260202,3106,2026-02-02,insemination,open,method=AI bull=Кавказ
default,RE_3106_PREGCK_20260202,3106,2026-03-09,preg_check,open,
default,RE_3107_CALV_3,3107,2026-01-03,calving,assisted,
default,RE_3107_HEAT_20260325,3107,2026-03-24,heat,detected,
default,RE_3107_INS_20260325,3107,2026-03-25,insemination,open,method=AI bull=Буран
default,RE_3108_CALV_1,3108,2025-10-01,calving,normal,
default,RE_3108_HEAT_20251221,3108,2025-12-20,heat,missed,
default,RE_3108_INS_20251221,3108,2025-12-21,insemination,open,method=AI bull=Гром
default,RE_3108_PREGCK_20251221,3108,2026-01-25,preg_check,open,
default,RE_3109_CALV_4,3109,2025-12-12,calving,normal,
default,RE_3109_HEAT_20260216,3109,2026-02-15,heat,missed,
default,RE_3109_INS_20260216,3109,2026-02-16,insemination,pregnant,method=AI bull=Вихрь
default,RE_3109_PREGCK_20260216,3109,2026-03-23,preg_check,pregnant,
default,RE_3110_CALV_4,3110,2025-04-06,calving,normal,
default,RE_3110_HEAT_20250609,3110,2025-06-08,heat,detected,
default,RE_3110_INS_20250609,3110,2025-06-09,insemination,pregnant,method=AI bull=Орёл
default,RE_3110_PREGCK_20250609,3110,2025-07-14,preg_check,pregnant,
default,RE_3110_DRY_4,3110,2026-02-05,dryoff,completed,
default,RE_3111_CALV_4,3111,2025-10-09,calving,normal,
default,RE_3111_HEAT_20260104,3111,2026-01-03,heat,detected,
default,RE_3111_INS_20260104,3111,2026-01-04,insemination,open,method=AI bull=Атаман
default,RE_3111_PREGCK_20260104,3111,2026-02-08,preg_check,open,
default,RE_3112_CALV_1,3112,2025-05-17,calving,normal,
default,RE_3112_HEAT_20250721,3112,2025-07-20,heat,detected,
default,RE_3112_INS_20250721,3112,2025-07-21,insemination,pregnant,method=AI bull=Граф
default,RE_3112_PREGCK_20250721,3112,2025-08-25,preg_check,pregnant,
default,RE_3112_DRY_1,3112,2026-03-18,dryoff,completed,
default,RE_3113_CALV_4,3113,2025-10-22,calving,normal,
default,RE_3113_HEAT_20260112,3113,2026-01-11,heat,detected,
default,RE_3113_INS_20260112,3113,2026-01-12,insemination,pregnant,method=AI bull=Буран
default,RE_3113_PREGCK_20260112,3113,2026-02-16,preg_check,pregnant,
default,RE_3114_CALV_4,3114,2025-06-22,calving,normal,
default,RE_3114_HEAT_20250930,3114,2025-09-29,heat,detected,
default,RE_3114_INS_20250930,3114,2025-09-30,insemination,open,method=natural bull=stockyard_bull_01
default,RE_3114_PREGCK_20250930,3114,2025-11-04,preg_check,open,
default,RE_3114_DRY_4,3114,2026-04-23,dryoff,completed,
default,RE_3115_CALV_4,3115,2026-04-20,calving,normal,
default,RE_3116_CALV_2,3116,2025-11-24,calving,normal,
default,RE_3116_HEAT_20260129,3116,2026-01-28,heat,missed,
default,RE_3116_INS_20260129,3116,2026-01-29,insemination,pregnant,method=AI bull=Буран
default,RE_3116_PREGCK_20260129,3116,2026-03-05,preg_check,pregnant,
default,RE_3117_CALV_1,3117,2026-01-02,calving,normal,
default,RE_3117_HEAT_20260316,3117,2026-03-15,heat,detected,
default,RE_3117_INS_20260316,3117,2026-03-16,insemination,open,method=AI bull=Жигули
default,RE_3117_PREGCK_20260316,3117,2026-04-20,preg_check,open,
default,RE_3118_CALV_1,3118,2025-03-20,calving,assisted,
default,RE_3118_HEAT_20250611,3118,2025-06-10,heat,detected,
default,RE_3118_INS_20250611,3118,2025-06-11,insemination,open,method=AI bull=Бой
default,RE_3118_PREGCK_20250611,3118,2025-07-16,preg_check,open,
default,RE_3118_DRY_1,3118,2026-01-19,dryoff,completed,
default,RE_3119_CALV_4,3119,2025-12-22,calving,normal,
default,RE_3119_HEAT_20260321,3119,2026-03-20,heat,missed,
default,RE_3119_INS_20260321,3119,2026-03-21,insemination,pregnant,method=AI bull=Кавказ
default,RE_3120_CALV_2,3120,2025-08-02,calving,normal,
